Department of Water and Sanitation          SAFMAXLEVELFLOW Output 2026/08/09 01:20

Monthly Maximum Values  ordered by  DATE

W1H004   Mlalazi River @ Eshowe

Hydro,,MAX,MAX,MAX
Year,Date,Time,Level (m),Flow (cumec)
    ,19661223, 08:48,  0.066,    0.088,M
    ,19670125, 13:12,  0.094,    0.149,
    ,19670219, 19:00,  0.205,    0.703,
    ,19670314, 06:48,  0.397,    3.406,
    ,19670402, 21:36,  0.213,    0.776,
    ,19670501, 00:00,  0.104,    0.175,
    ,19670625, 08:12,  0.056,    0.069,
    ,19670716, 07:54,  0.100,    0.164,
    ,19670815, 10:30,  0.031,    0.027,
    ,19670918, 08:12,  0.034,    0.031,
1968,19671028, 13:18,  0.140,    0.270,
    ,19671118, 18:00,  0.232,    0.963,
    ,19671203, 09:18,  0.064,    0.084,M
    ,19680130, 09:43,  0.031,    0.027,
    ,19680228, 16:18,  0.195,    0.617,M
    ,19680307, 08:12,  0.248,    1.135,
    ,19680405, 11:06,  0.071,    0.099,
    ,19680501, 00:00,  0.019,    0.012,M
    ,19680603, 23:54,  0.043,    0.045,M
    ,19680726, 08:30,  0.027,    0.021,
    ,19680810, 17:30,  0.195,    0.617,
    ,19680930, 19:36,  0.087,    0.133,
1969,19681001, 00:00,  0.083,    0.125,
    ,19681110, 09:42,  0.076,    0.109,M
    ,19681208, 04:48,  0.352,    2.595,M
    ,19690101, 00:00,  0.075,    0.106,
    ,19690215, 22:12,  0.027,    0.021,
    ,19690330, 01:36,  0.462,    4.767,
    ,19690401, 00:00,  0.149,    0.303,
    ,19690511, 14:48,  0.167,    0.405,
    ,19690606, 20:54,  0.050,    0.057,
    ,19690719, 23:12,  0.037,    0.036,
    ,19690801, 00:00,  0.017,    0.009,
    ,19690929, 06:48,  0.136,    0.258,
1970,19691019, 00:12,  0.262,    1.298,
    ,19691101, 00:00,  0.091,    0.142,M
    ,19691208, 08:12,  0.226,    0.902,M
    ,19700116, 07:48,  0.106,    0.178,
    ,19700207, 11:54,  0.194,    0.609,
    ,19700307, 22:42,  0.035,    0.033,
    ,19700401, 00:00,  0.006,    0.002,
    ,19700513, 15:36,  0.043,    0.045,
    ,19700601, 00:00,  0.006,    0.002,
    ,19700716, 12:18,  0.027,    0.021,
    ,19700827, 19:42,  0.049,    0.055,
    ,19700901, 00:00,  0.006,    0.002,
1971,19701013, 07:48,  0.248,    1.135,
    ,19701111, 02:30,  0.296,    1.737,
    ,19701207, 04:30,  0.205,    0.703,
    ,19710119, 21:18,  0.305,    1.863,
    ,19710216, 19:36,  0.192,    0.592,
    ,19710327, 11:48,  0.110,    0.189,
    ,19710408, 23:12,  0.187,    0.552,
    ,19710513, 05:54,  0.668,   12.216,M
    ,19710601, 00:00,       ,         ,M
    ,19710701, 00:00,       ,         ,M
    ,19710803, 05:48,  0.084,    0.126,M
    ,19710930, 18:00,  0.117,    0.207,
1972,19711008, 21:06,  0.427,    4.007,
    ,19711107, 11:00,  0.107,    0.181,
    ,19711203, 12:06,  0.196,    0.625,
    ,19720122, 07:24,  0.376,    3.014,
    ,19720222, 19:18,  1.000,   35.271,
    ,19720309, 23:06,  0.318,    2.054,
    ,19720405, 12:12,  0.137,    0.261,
    ,19720516, 16:18,  0.316,    2.024,
    ,19720602, 17:42,  0.143,    0.278,
    ,19720719, 20:00,  0.074,    0.105,
    ,19720801, 12:42,  0.072,    0.101,
    ,19720915, 06:18,  0.094,    0.149,
1973,19721023, 08:12,  0.104,    0.173,
    ,19721129, 13:18,  0.083,    0.124,
    ,19721223, 13:18,  0.153,    0.316,
    ,19730113, 08:18,  0.077,    0.111,
    ,19730225, 13:36,  0.228,    0.922,
    ,19730331, 08:06,  0.085,    0.129,
    ,19730409, 08:18,  0.180,    0.498,
    ,19730501, 00:00,  0.000,    0.000,
    ,19730601, 00:00,  0.000,    0.000,
    ,19730701, 00:00,  0.000,    0.000,
    ,19730807, 14:36,  0.124,    0.225,
    ,19730930, 07:18,  0.553,    7.442,
1974,19731001, 00:00,  0.332,    2.269,
    ,19731121, 15:42,  0.278,    1.497,
    ,19731228, 01:18,  0.110,    0.189,
    ,19740127, 23:54,  0.470,    4.950,M
    ,19740209, 05:24,  0.258,    1.250,
    ,19740318, 13:36,  0.206,    0.712,M
    ,19740425, 02:36,  0.146,    0.287,
    ,19740518, 11:42,  0.098,    0.159,
    ,19740603, 18:24,  0.107,    0.181,
    ,19740703, 07:00,  0.089,    0.138,
    ,19740801, 00:00,  0.000,    0.000,
    ,19740901, 00:00,  0.000,    0.000,
1975,19741008, 12:30,  0.026,    0.020,
    ,19741129, 19:00,  0.069,    0.094,
    ,19741203, 15:12,  0.596,    9.057,
    ,19750130, 13:30,  0.214,    0.785,
    ,19750228, 08:54,  0.257,    1.239,
    ,19750301, 00:00,  0.195,    0.625,
    ,19750422, 04:24,  0.842,   22.440,
    ,19750514, 12:12,  0.159,    0.353,
    ,19750609, 05:48,  0.096,    0.154,
    ,19750722, 20:30,  0.053,    0.063,
    ,19750801, 10:54,  0.017,    0.009,
    ,19750903, 04:36,  0.251,    1.169,
1976,19751031, 23:59,  0.092,    0.148,
    ,19751103, 07:18,  0.187,    0.552,
    ,19751220, 03:06,  0.375,    2.996,
    ,19760107, 01:48,  0.495,    5.568,
    ,19760212, 15:00,  0.493,    5.509,
    ,19760321, 01:00,  1.283,   64.658,
    ,19760402, 09:12,  0.479,    5.160,
    ,19760504, 14:12,  0.265,    1.334,
    ,19760601, 00:00,  0.070,    0.096,
    ,19760720, 22:18,  0.062,    0.080,
    ,19760824, 15:12,  0.134,    0.253,
    ,19760930, 06:06,  0.064,    0.084,
1977,19761003, 05:30,  0.237,    1.015,
    ,19761104, 11:54,  0.164,    0.385,
    ,19761231, 04:06,  0.361,    2.749,
    ,19770124, 22:42,  0.810,   20.267,
    ,19770207, 10:48,  1.008,   36.019,
    ,19770305, 21:54,  0.728,   15.311,
    ,19770411, 05:24,  0.150,    0.299,
    ,19770507, 00:30,  0.061,    0.078,
    ,19770615, 17:42,  0.086,    0.131,
    ,19770703, 09:24,  0.033,    0.030,
    ,19770811, 22:36,  0.133,    0.250,
    ,19770925, 06:12,  0.293,    1.696,
1978,19771010, 08:12,  0.292,    1.682,
    ,19771118, 08:12,  0.229,    0.932,
    ,19771220, 00:24,  0.849,   22.933,
    ,19780124, 02:12,  0.437,    4.217,
    ,19780222, 10:12,  0.369,    2.889,
    ,19780328, 06:12,  0.715,   14.603,
    ,19780411, 05:30,  0.205,    0.703,
    ,19780501, 18:00,  0.085,    0.129,
    ,19780601, 00:54,  0.053,    0.063,
    ,19780701, 00:00,  0.000,    0.000,
    ,19780801, 00:00,  0.000,    0.000,
    ,19780909, 14:06,  0.131,    0.244,
1979,19781020, 00:42,  0.413,    3.721,
    ,19781126, 21:18,  0.163,    0.378,
    ,19781210, 02:12,  0.076,    0.109,
    ,19790128, 20:06,  0.081,    0.120,
    ,19790218, 20:18,  0.064,    0.084,
    ,19790304, 22:00,  0.054,    0.065,
    ,19790424, 14:24,  0.112,    0.194,
    ,19790520, 07:18,  0.041,    0.042,
    ,19790608, 18:54,  0.048,    0.054,
    ,19790709, 09:12,  0.058,    0.072,
    ,19790813, 13:42,  0.014,    0.006,
    ,19790901, 00:00,  0.000,    0.000,
1980,19791027, 07:00,  0.026,    0.020,
    ,19791101, 00:00,  0.000,    0.000,
    ,19791201, 00:00,  0.000,    0.000,
    ,19800101, 00:00,  0.000,    0.000,
    ,19800201, 00:00,  0.000,    0.000,
    ,19800301, 00:00,  0.000,    0.000,
    ,19800401, 00:00,  0.000,    0.000,
    ,19800501, 00:00,  0.000,    0.000,
    ,19800601, 00:00,  0.000,    0.000,
    ,19800701, 00:00,  0.000,    0.000,
    ,19800801, 00:00,  0.000,    0.000,
    ,19800927, 23:00,  0.051,    0.059,
1981,19801001, 13:00,  0.027,    0.021,
    ,19801128, 03:00,  0.213,    0.776,
    ,19801214, 05:48,  0.078,    0.113,
    ,19810131, 23:59,  0.039,    0.073,
    ,19810201, 00:54,  0.287,    1.615,
    ,19810306, 07:30,  0.070,    0.096,
    ,19810401, 00:00,  0.000,    0.000,
    ,19810517, 16:54,  0.197,    0.634,
    ,19810606, 02:30,  0.044,    0.047,
    ,19810702, 07:18,  0.060,    0.076,
    ,19810830, 14:36,  0.173,    0.447,
    ,19810911, 09:18,  0.256,    1.227,
1982,19811010, 20:48,  0.225,    0.892,
    ,19811120, 02:36,  0.544,    7.129,
    ,19811201, 00:00,  0.132,    0.246,
    ,19820105, 10:54,  0.205,    0.703,
    ,19820218, 04:42,  0.118,    0.209,
    ,19820322, 21:24,  0.107,    0.181,
    ,19820403, 19:36,  0.054,    0.065,
    ,19820501, 00:00,  0.000,    0.000,
    ,19820601, 00:00,  0.000,    0.000,
    ,19820701, 13:18,  0.039,    0.039,
    ,19820801, 00:00,  0.000,    0.000,
    ,19820901, 00:00,  0.000,    0.000,
1983,19821020, 19:00,  0.051,    0.059,
    ,19821101, 01:24,  0.024,    0.017,
    ,19821223, 20:30,  0.036,    0.034,
    ,19830121, 20:54,  0.050,    0.057,
    ,19830201, 00:00,  0.000,    0.000,
    ,19830303, 21:54,  0.007,    0.002,
    ,19830411, 18:24,  0.036,    0.034,
    ,19830501, 00:00,  0.000,    0.000,
    ,19830601, 00:00,  0.000,    0.000,
    ,19830701, 00:00,  0.000,    0.000,
